#  id  gal_type   ra          dec       redshift  log_luminosity  color      radius     b_over_a   pos_angle   bulge_fract   sersic_n    r_bulge     r_disk
  199     4    224.10949    48.00974     0.05174    10.41661     0.64035     8.03795     0.63028    70.54780     0.17179     0.98700     2.20521     9.77687
  201     4    256.95711    34.43981     0.03575     9.62007     0.73361     4.38107     0.65852     1.03020     0.32795     4.26310     6.13916     5.14540
  205     4    201.66218    27.03962     0.02326     9.62111     0.57208     6.30807     0.15417    32.77820     0.65701     0.55850     5.71564     8.23708
  213     3    244.29842    49.96440     0.05737    11.13458     0.46828    11.58467     0.83955     3.12490     0.37173     2.60790     3.42355    18.84124
  214     4    222.84838    51.47612     0.03529     9.68891     0.74778     3.77696     0.48695   -59.27550     0.12639     1.07000     1.43922     4.21252
  218     4    256.87409    35.92429     0.03650     9.54410     0.68977     4.48938     0.83106    32.16700     0.34302     1.00000     2.60830     5.67888
  219     4    238.26846    43.68385     0.03644     9.68562     0.67649     5.35262     0.89525    41.58340     0.21745     1.26390     4.37655     5.92953
  221     1    119.55331    38.53531     0.09546    11.34135     0.38122    16.66721     0.60158   -43.32300     0.47487     0.90600     7.62165    41.88662
  222     4    205.54861    22.26915     0.04194     9.84509     0.67147     4.44832     0.42978    65.40190     0.70167     1.64170     4.95742     3.17209
  223     4    246.61965    24.02573     0.06478    10.81280     0.50853     7.51159     0.89595    45.90410     0.40549     1.58900     4.34702    10.60766
  224     4    133.37109    57.59842     0.03918     9.87929     0.66162     4.41765     0.28782    24.94340     0.00140     1.14000     0.00319     4.40717
  225     4     27.88644    12.69960     0.02046     9.24768     0.63595     4.67246     0.25908    57.47930     0.36672     1.32500     2.57208     5.88355
  226     4    116.73264    44.26570     0.03121    10.39298     0.53898     6.30740     0.41887   -43.73600     0.78333     1.00000     6.73748     6.35631
  227     1    199.60876    47.22317     0.05707    11.01878     0.49026    12.19480     0.94595    70.69000     0.69236     6.71360     9.17875    16.36362
  228     3     57.13007    -0.92053     0.04027     9.69858     0.47257     5.38879     0.58911    68.25630     0.00132     8.00000     0.00318     5.37066
  230     1    166.12941    42.62455     0.12602    10.84064     0.39235     5.19212     0.68620    46.34620     0.61077     8.00000     3.22569     6.66587
  231     4    322.94947    -1.03917     0.05151    10.32409     0.52890     9.68028     0.20413   -38.27150     0.19612     1.34100     8.05518    10.14996
  232     4    163.54525    44.62424     0.02453     9.99355     0.54286     8.20565     0.17947     6.03180     0.55292     1.36400     5.65922    13.51570
  234     4    245.88648    39.12110     0.03501    10.93094     0.54209     8.82373     0.98557    22.22770     0.16853     2.29700     1.02283    10.64279
  236     3    176.32691    49.64977     0.11372    10.83668     0.41773    12.07950     0.45455   -19.67280     0.46361     1.82500     5.96083    22.43136
  237     4    244.64162    45.74264     0.05795    10.45866     0.50951     7.58599     0.21630    84.00650     0.63560     1.00000     6.18451    10.74066
  238     3    114.83597    27.36062     0.02671     9.82998     0.62980     4.91980     0.82430    34.86090     0.02303     1.00000     0.38490     5.02222
  240     1    118.57095    38.22089     0.11787    11.06077     0.27625    19.30991     0.78329    71.27960     0.79260     6.63330    12.10258    53.55383
  241     4    257.75222    56.93534     0.02888    10.42885     0.60846     6.12085     0.43135    27.52230     0.01031     3.19260     0.00298     6.24542
  242     4    208.28908    51.81250     0.06753    10.66437     0.45795    10.33454     0.19397    63.11800     0.13008     3.15300     3.65992    11.67872
  247     4    121.67827    39.09022     0.04150    10.96860     0.53180    17.78511     0.75542   -65.09520     0.20858     1.25000     2.44656    23.27242
  249     4    236.46997    44.26322     0.03992    10.00338     0.78260     4.29221     0.72958     5.37090     0.29495     1.00000     2.74790     5.52133
  250     4    151.30995    46.65089     0.02508    10.16949     0.60704     5.58214     0.75616    30.03410     0.05597     1.00000     0.30077     5.83854
  252     4    164.86395    46.12239     0.02215    10.93262     0.55057    14.97319     0.47974    50.04000     0.11814     0.99720     3.82585    17.87145
  253     4    115.16694    42.45395     0.03817     9.70345     0.56344     4.81228     0.20448    33.23990     0.00154     1.24040     0.00312     4.85781
  254     3    260.12645    52.64304     0.03091    10.62888     0.51028     7.11242     0.93507     1.45120     0.23246     1.00000     2.04450     8.94436
  256     4    201.65694    31.66675     0.01680     9.22648     0.64785     2.98940     0.69696    88.15510     0.20312     1.00000     1.06909     3.55785
  262     4    173.34594    49.03804     0.03134     9.87301     0.49706     5.08868     0.32762   -44.11470     0.08501     3.48480     2.53663     6.15786
  263     4    223.33969    43.07591     0.03716     9.79255     0.66790     4.76323     0.85971   -89.89390     0.12261     1.00000     1.09482     5.27680
  265     4    233.31922    48.11965     0.02341     9.53444     0.76078     4.55972     0.48589   -48.26040     0.34210     1.00000     1.44696     6.17604
  267     2     45.95462    -1.10375     0.01362    10.45238     0.48964     7.31151     0.43482    48.66560     0.56141     1.72000     3.39472    14.83271
  268     1    133.06809    50.62724     0.11228    10.72691     0.47824     8.66952     0.93546    40.43900     0.60430     5.51370     5.67521    11.95107
  270     4    115.47993    31.41154     0.01558     9.16371     0.62194     3.44244     0.29162   -17.28930     0.00643     6.66420     0.00168     3.45344
  276     4    202.90367    22.20101     0.07178    10.74836     0.55896     7.27272     0.73986    69.92310     0.06630     8.00000     0.00490     7.83741
  281     2    176.13182    52.68508     0.12237    11.04196     0.40358    16.68096     0.55503    87.87850     0.66798     5.83310    10.74354    26.65193
  283     4    121.14638    35.99774     0.01871     9.22726     0.65318     4.93001     0.13667   -21.76100     0.06715     1.20700     1.91094     5.28414
  286     3    207.92881    43.16660     0.09287    10.99175     0.48963    10.72469     0.53315     9.47510     0.10861     8.00000     0.00608    10.18726
  288     3    164.97110    50.01520     0.02570    10.58568     0.51027     6.00443     0.93284   -42.49010     0.25588     2.60530     1.40121     8.11199
  289     4    184.60422    44.30727     0.03859     9.65169     0.65028     4.65076     0.24870    19.65440     0.65777     1.07710     4.59849     5.01276
  292     3    113.50057    32.21576     0.02690     9.43359     0.74765     2.21100     0.38802   -26.13390     0.26583     0.52390     0.83042     3.19913
  298     4    322.92881     0.35784     0.02984    10.29229     0.60538     7.10981     0.46991   -54.67540     0.42048     1.26500     4.28753     9.79522
  299     2    194.00729    26.75664     0.01916     9.78129     0.48883     1.16595     0.96322    55.43230     0.66918     8.00000     1.28971     1.10997
  300     4    121.12960    40.20605     0.04023    10.76317     0.20834    11.17005     0.82642   -22.39240     0.09910     1.00000     3.79015    11.71985
  301     2     58.48563    -7.07295     0.03319    10.67977     0.42419     6.33312     0.33009    73.85040     0.20150     2.49300     0.82639     7.89311
  302     4    310.21708     0.65280     0.02675    10.25853     0.45772     8.17551     0.23939   -45.41170     0.45648     2.11080     6.29956    11.69915
  305     4    166.40325    46.17360     0.02515     9.80856     0.71912     6.93733     0.17696   -60.24030     0.31130     1.00000     3.58166     8.46518
  310     4    164.41076    41.05486     0.02545     9.12602     0.72495     3.24904     0.43155   -20.49720     0.40324     0.24930     2.35501     3.83004
  311     4    112.93356    38.33656     0.05263    10.40122     0.55503     7.11722     0.77792   -78.81090     0.08080     1.00000     1.23161     7.60271
  312     3    247.40326    25.76553     0.04296    10.08384     0.52690     4.85026     0.59871    22.92350     0.01360     1.71610     0.01366     4.77062
  315     4    202.62339    26.51455     0.02501     9.20169     0.78114     4.01031     0.33220   -48.62080     0.09813     0.10000     2.01348     4.37855
  316     4    116.83569    29.41293     0.06250    10.87409     0.59013    10.06386     0.57270    67.87320     0.07632     1.00000     0.87163    10.85779
  324     4    110.88851    41.43491     0.02760    10.67732     0.51769    10.03106     0.84796     1.10010     0.08938     1.30600     1.25116    11.03205
  330     4    215.48749    40.19580     0.01883     9.46418     0.66949     4.01954     0.89947    75.81020     0.34996     1.52300     3.44126     4.77411
  331     2    125.42811    45.55325     0.04767    10.17181     0.65741     7.59941     0.33233   -53.62880     0.85877     3.65240     7.64117    10.31608
  332     1    217.97540    46.27030     0.07249    10.78437     0.48297     6.29765     0.79752    73.33880     0.46132     5.10910     4.06971     7.54787
  333     4    118.13487    33.48165     0.01749     9.77291     0.71157     3.53096     0.82685   -74.84480     0.36128     1.26300     3.79635     3.63612
  336     4    247.92909    25.29411     0.09053    10.96927     0.51509    13.55915     0.60072    61.61110     0.11524     7.67630     0.00471    13.53253
  337     4    128.49456    26.10680     0.05863    10.55373     0.55731     8.15070     0.78391   -81.44240     0.14380     1.35200     1.97870     9.53107
  340     4    151.54777    47.29504     0.03808     9.82483     0.65050     6.44434     0.47630   -76.49210     0.00669     1.26100     0.00128     6.40915
  341     1    237.40935    42.03421     0.03309    10.90520     0.46374     5.72856     0.76854    57.35640     0.44513     1.72000     2.95858     9.47955
  342     4    136.13820    28.34986     0.02630     9.86294     0.67524     6.01776     0.64219    84.91900     0.20803     1.00000     3.27991     6.83261
  350     4    356.27029    -0.27089     0.02291     9.89405     0.59952     7.02770     0.23224   -70.33230     0.02413     0.97880     0.25471     7.20595
  352     4    211.67726    44.43167     0.01284     9.18912     0.68170     4.12693     0.77680   -81.16980     0.00137     1.15600     0.00169     4.12953
  354     2    145.53085    48.15487     0.03365    10.71022     0.47867     7.11067     0.48997    44.19230     0.51603     1.92600     2.93669    15.01601
  358     4    196.44404    46.46186     0.02482    10.33141     0.50485    11.37065     0.15705    33.28390     0.10239     1.34000     3.94333    20.93026
  359     4     46.37325    -0.38193     0.02486     9.86450     0.65220     7.97019     0.37083    50.72900     0.39349     1.36600     4.63871    11.52307
  361     3    222.81007    30.69225     0.05468    11.20226     0.47502    20.38503     0.54233   -64.06920     0.36532     2.02870     5.45201    33.84331
  364     1    117.87004    27.20214     0.09488    10.98065     0.44877    17.18917     0.68299    68.47330     0.50981     3.76900     7.47534    28.77980
  368     3    117.90319    41.46044     0.04168     9.89238     0.48183     4.08435     0.29314   -67.37480     0.15258     8.00000     5.37732     4.50710
  370     4    245.87081    24.52999     0.03957     9.60547     0.47735     6.67751     0.15087    88.69960     0.64645     1.00000     5.76707     8.69916
  372     4    156.16980    36.00753     0.04345    10.05803     0.70495     5.63644     0.81228    33.86290     0.10713     1.00000     1.41513     6.20520
  374     4    241.27145    45.44299     0.04331    10.78185     0.59605     8.37288     0.56887   -29.72410     0.16154     1.18100     1.08974    10.20489
  378     4    231.36070    43.16990     0.05748    10.54400     0.66208     7.20502     0.96358     2.71430     0.04736     1.00000     0.75029     7.53893
  379     4    153.04902    45.14216     0.07638    10.84109     0.62658     6.90371     0.68136    -7.05820     0.38997     2.91340     2.99813    10.24972
  380     4    228.28073    41.26462     0.02904    10.99676     0.44207    10.78877     0.56115    35.15770     0.10139     2.71890     1.65750    11.93930
  381     4    171.52163    22.05714     0.04047     9.98860     0.69487     7.19125     0.87458    64.88850     0.14213     1.00000     1.80172     8.11635
  385     3    125.74049    25.73873     0.02790    10.61850     0.48678    10.46011     0.19590   -14.87130     0.45949     2.53020     2.78413    18.60104
  388     3    195.01912    27.03243     0.02319     9.27052     0.53169     3.00828     0.30334    71.33010     0.27539     1.50500     1.83754     3.47936
  389     4    219.69869    51.02236     0.04633    10.33169     0.64841     7.87246     0.61562   -61.53390     0.54492     1.83120     6.48785    10.39746
  392     4    124.00331    27.07589     0.02548    10.64130     0.60863     9.12546     0.80544    52.50980     0.10884     1.27800     0.70616    10.28534
  393     4    164.97808    43.14770     0.02453    10.15196     0.62630     5.50371     0.85985    46.98610     0.27504     0.17490     5.66277     5.91503
  395     4    115.31625    44.91603     0.05002    10.25072     0.54235     6.16896     0.21948   -28.78740     0.10592     1.61100     2.14150     6.64707
  396     4    129.01273    23.91184     0.01217     8.75489     0.75004     2.12692     0.31805    -9.48410     0.22287     0.74780     1.21479     2.53123
  398     2    194.83409    27.88601     0.02161     9.80150     0.50888     1.96256     0.63537   -56.16810     0.51505     1.84190     1.43401     2.93534
  399     4    201.64944    32.76091     0.02450     9.58596     0.74943     5.24973     0.42009    46.83330     0.18112     1.00000     1.63516     6.12155
  402     4    149.96826    45.28310     0.02347     9.88457     0.74184     7.23611     0.24567    37.36970     0.21297     0.47470     3.59930     9.09682
  409     4    172.31724    51.52323     0.03284    10.44121     0.48456     6.12896     0.56663   -71.58250     0.18982     8.00000     6.02222     8.49605
  429     4    129.60695    25.07084     0.02833     9.08364     0.51262     1.75007     0.50768   -72.05930     0.53611     1.67550     1.26168     2.77148
  436     4    212.53527    53.64028     0.04280     9.97722     0.70709     6.08459     0.37021    25.66520     0.10884     0.25000     0.94098     6.91219
  440     4    196.40493    47.91649     0.02402     9.49898     0.60268     4.50841     0.24342    -3.84110     0.52016     0.36940     4.61081     5.07390
  442     4    126.61096    20.79813     0.02528     9.85214     0.65229     6.27412     0.60873   -17.55410     0.35732     1.25800     5.60622     7.20327
  444     3    206.97277    25.56700     0.05099    10.42238     0.52330     5.30544     0.83191   -47.72380     0.05513     0.49210     0.52326     5.62001
  445     4    121.13754    19.85126     0.04526    10.09441     0.68616     5.96122     0.88960     2.47170     0.07173     0.51080     3.37276     6.36160
  446     4    141.53931    49.31020     0.02691    10.56016     0.50627     5.40653     0.66536   -34.53040     0.22292     2.08200     0.67126     7.14877
  449     1    182.98375    45.78993     0.11217    11.10805     0.43708    18.45477     0.99559   -77.13330     0.63611     8.00000    14.42591    23.48538
  450     4    164.41076    41.05486     0.02545     9.12602     0.72495     3.24904     0.43155   -20.49720     0.40324     0.24930     2.35501     3.83004
  458     1    135.06544    40.91797     0.14732    11.20355     0.53761    23.30087     0.67623    10.61650     0.79444     5.18630    17.54943    48.33200
  460     1    112.36026    40.16919     0.07344    11.05309     0.48502    15.12448     0.77910   -34.12730     0.47547     4.29500     5.44658    26.03999
  465     4    224.28908    48.63397     0.03535    10.69071     0.57591     9.31760     0.46196   -26.85410     0.22664     3.39740     2.64790    11.67828
